,i,time
0,0,0.004334926605224609
1,1,0.003194570541381836
2,2,0.002872943878173828
3,3,0.0036094188690185547
4,4,0.0033218860626220703
5,5,0.0051996707916259766
6,6,0.0037398338317871094
7,7,0.0031499862670898438
8,8,0.0034439563751220703
9,9,0.003239154815673828
10,10,0.0030841827392578125
11,11,0.00299072265625
12,12,0.009746551513671875
13,13,0.0029501914978027344
14,14,0.0032300949096679688
15,15,0.0035047531127929688
16,16,0.003361225128173828
17,17,0.011184930801391602
18,18,0.0031461715698242188
19,19,0.003509998321533203
20,20,0.0031604766845703125
21,21,0.0038137435913085938
22,22,0.003846883773803711
23,23,0.0032744407653808594
24,24,0.0035076141357421875
25,25,0.0037212371826171875
26,26,0.003126382827758789
27,27,0.0031690597534179688
28,28,0.010962963104248047
29,29,0.013498544692993164
30,30,0.0035796165466308594
31,31,0.0034971237182617188
32,32,0.003848552703857422
33,33,0.00417017936706543
34,34,0.0033273696899414062
35,35,0.005822896957397461
36,36,0.01278376579284668
37,37,0.01110219955444336
38,38,0.005711793899536133
39,39,0.010254144668579102
40,40,0.013703346252441406
41,41,0.011020660400390625
42,42,0.0035953521728515625
43,43,0.012468099594116211
44,44,0.003347635269165039
45,45,0.012722492218017578
46,46,0.0031576156616210938
47,47,0.003532886505126953
48,48,0.01254129409790039
49,49,0.012233972549438477
50,50,0.003651142120361328
51,0,0.06713318824768066
52,1,0.006997346878051758
53,2,0.004221200942993164
54,3,0.006404399871826172
55,4,0.004643678665161133
56,5,0.014433622360229492
57,6,0.00475001335144043
58,7,0.0055959224700927734
59,8,0.005683183670043945
60,9,0.0049059391021728516
61,10,0.004115581512451172
62,11,0.02878260612487793
63,12,0.013304948806762695
64,13,0.007477521896362305
65,14,0.006924152374267578
66,15,0.006449222564697266
67,16,0.005795478820800781
68,17,0.005739688873291016
69,18,0.0223848819732666
70,19,0.015342235565185547
71,20,0.005055427551269531
72,21,0.0052337646484375
73,22,0.005274057388305664
74,23,0.005125761032104492
75,24,0.0057642459869384766
76,25,0.0058612823486328125
77,26,0.006306648254394531
78,27,0.005811452865600586
79,28,0.006427764892578125
80,29,0.004518747329711914
81,30,0.0055658817291259766
82,31,0.019432544708251953
83,32,0.006756782531738281
84,33,0.006780862808227539
85,34,0.006028890609741211
86,35,0.006712913513183594
87,36,0.006674528121948242
88,37,0.005879640579223633
89,38,0.006750345230102539
90,39,0.004149436950683594
91,40,0.0054056644439697266
92,41,0.007260322570800781
93,42,0.006971597671508789
94,43,0.007285594940185547
95,44,0.004692554473876953
96,45,0.007954835891723633
97,46,0.005995512008666992
98,47,0.006563663482666016
99,48,0.009191751480102539
100,49,0.006636619567871094
101,50,0.010040283203125
102,51,0.006532192230224609
103,52,0.007208108901977539
104,53,0.008936643600463867
105,54,0.00710296630859375
106,55,0.00757145881652832
107,56,0.006450176239013672
108,57,0.006552696228027344
109,58,0.008095264434814453
110,59,0.007367372512817383
111,60,0.0058820247650146484
112,61,0.005864858627319336
113,62,0.01590132713317871
114,63,0.0084686279296875
115,64,0.033655643463134766
116,65,0.034537553787231445
117,66,0.03352022171020508
118,67,0.033869028091430664
119,68,0.015346527099609375
120,69,0.011990785598754883
121,70,0.009958267211914062
122,71,0.0358271598815918
123,72,0.04255843162536621
124,73,0.008281946182250977
125,74,0.009576797485351562
126,75,0.0070497989654541016
127,76,0.02345752716064453
128,77,0.009989023208618164
129,78,0.03560018539428711
130,79,0.05156707763671875
131,80,0.00496220588684082
132,81,0.011697769165039062
133,82,0.009273290634155273
134,83,0.041924476623535156
135,84,0.01763129234313965
136,85,0.009611845016479492
137,86,0.009306907653808594
138,87,0.009671449661254883
139,88,0.009629249572753906
140,89,0.00973200798034668
141,90,0.0076122283935546875
142,91,0.011484146118164062
143,92,0.009670019149780273
144,93,0.009449481964111328
145,94,0.010605573654174805
146,95,0.008493185043334961
147,96,0.009813547134399414
148,97,0.01612997055053711
149,98,0.010028600692749023
150,99,0.009426355361938477
151,100,0.014654397964477539
152,101,0.010340690612792969
153,102,0.008827447891235352
154,103,0.009311437606811523
155,104,0.009846687316894531
156,105,0.008783578872680664
157,106,0.007529497146606445
158,107,0.009955644607543945
159,108,0.011336326599121094
160,109,0.010580301284790039
161,110,0.010532379150390625
162,111,0.011008739471435547
163,112,0.01184701919555664
164,113,0.010545492172241211
165,114,0.009961843490600586
166,115,0.010976552963256836
167,116,0.012428760528564453
168,117,0.01013803482055664
169,118,0.0067136287689208984
170,119,0.008464336395263672
171,120,0.011110782623291016
172,121,0.01170206069946289
173,122,0.011494636535644531
174,123,0.012343168258666992
175,124,0.010062456130981445
176,125,0.01098179817199707
177,126,0.013676643371582031
178,127,0.01102590560913086
179,128,0.013429641723632812
180,129,0.010084867477416992
181,130,0.011350393295288086
182,131,0.010805845260620117
183,132,0.011345148086547852
184,133,0.01138758659362793
185,134,0.010524272918701172
186,135,0.01195669174194336
187,136,0.011941909790039062
188,137,0.010705947875976562
189,138,0.01136326789855957
190,139,0.011753559112548828
191,140,0.011576414108276367
192,141,0.011484384536743164
193,142,0.013573408126831055
194,143,0.011639118194580078
195,144,0.01116180419921875
196,145,0.010986328125
197,146,0.011556863784790039
198,147,0.01305532455444336
199,148,0.012066364288330078
200,149,0.009708642959594727
201,150,0.011461496353149414
202,151,0.012016773223876953
203,152,0.014014720916748047
