,i,time
0,0,0.12175226211547852
1,1,0.004344940185546875
2,2,0.0065746307373046875
3,3,0.0032231807708740234
4,4,0.005936384201049805
5,5,0.005360126495361328
6,6,0.004110574722290039
7,7,0.01938915252685547
8,8,0.0034799575805664062
9,9,0.010208606719970703
10,10,0.007081270217895508
11,11,0.0037047863006591797
12,12,0.006251096725463867
13,13,0.008548498153686523
14,14,0.006850481033325195
15,15,0.0035452842712402344
16,16,0.0036478042602539062
17,17,0.005673408508300781
18,18,0.00941610336303711
19,19,0.004020214080810547
20,20,0.020432472229003906
21,21,0.00981903076171875
22,22,0.01903700828552246
23,23,0.0034189224243164062
24,24,0.019846439361572266
25,25,0.01019287109375
26,26,0.004659175872802734
27,27,0.01448965072631836
28,28,0.010267019271850586
29,29,0.005819082260131836
30,30,0.0033483505249023438
31,31,0.0036911964416503906
32,32,0.0060923099517822266
33,33,0.0033185482025146484
34,34,0.005099296569824219
35,35,0.003161191940307617
36,36,0.003394603729248047
37,37,0.006959438323974609
38,38,0.0034072399139404297
39,39,0.0060117244720458984
40,40,0.0036678314208984375
41,41,0.003307819366455078
42,42,0.0061724185943603516
43,43,0.003820180892944336
44,44,0.006215095520019531
45,45,0.003542184829711914
46,46,0.0033180713653564453
47,47,0.0059070587158203125
48,48,0.0036933422088623047
49,49,0.005854129791259766
50,50,0.0033445358276367188
51,51,0.0034461021423339844
52,52,0.007376670837402344
53,53,0.0035390853881835938
54,54,0.005884885787963867
55,55,0.004919767379760742
56,56,0.00399017333984375
57,57,0.007569313049316406
58,58,0.004626035690307617
59,59,0.010963916778564453
60,60,0.005365848541259766
61,61,0.003203153610229492
62,62,0.006501197814941406
63,63,0.0034470558166503906
64,64,0.00632166862487793
65,65,0.003717660903930664
66,66,0.0038683414459228516
67,67,0.006372928619384766
68,68,0.003336191177368164
69,69,0.00555872917175293
70,70,0.0036077499389648438
71,71,0.004218101501464844
72,72,0.006409883499145508
73,73,0.0038759708404541016
74,74,0.008600473403930664
75,75,0.003338336944580078
76,76,0.004276752471923828
77,77,0.006290435791015625
78,78,0.003945112228393555
79,79,0.0067501068115234375
80,80,0.003345012664794922
81,81,0.0039331912994384766
82,82,0.006017923355102539
83,83,0.0033228397369384766
84,84,0.0065839290618896484
85,85,0.005925655364990234
86,86,0.003585338592529297
87,87,0.005728960037231445
88,88,0.003402233123779297
89,89,0.0058786869049072266
90,90,0.004475593566894531
91,91,0.003340005874633789
92,92,0.005869388580322266
93,93,0.003207683563232422
94,94,0.0060689449310302734
95,95,0.003318309783935547
96,96,0.0035386085510253906
97,97,0.005766630172729492
98,98,0.00339508056640625
99,99,0.0055353641510009766
100,100,0.00420832633972168
101,101,0.0037784576416015625
102,102,0.0061452388763427734
103,103,0.004225254058837891
104,104,0.0056383609771728516
105,105,0.003309488296508789
106,106,0.004767179489135742
107,107,0.005677223205566406
108,108,0.0033416748046875
109,109,0.005664348602294922
110,110,0.003283262252807617
111,111,0.0031740665435791016
112,112,0.0059893131256103516
113,113,0.003357410430908203
114,114,0.003394603729248047
115,115,0.0067882537841796875
116,116,0.003799915313720703
117,117,0.006395816802978516
118,118,0.0038537979125976562
119,119,0.0032961368560791016
120,120,0.006303310394287109
121,121,0.0036623477935791016
122,122,0.007855892181396484
123,123,0.0038192272186279297
124,124,0.0037016868591308594
125,125,0.0058956146240234375
126,126,0.0035469532012939453
127,127,0.006234407424926758
128,128,0.003640413284301758
129,129,0.00392460823059082
130,130,0.006827354431152344
131,131,0.003528118133544922
132,132,0.0065457820892333984
133,133,0.0033080577850341797
134,134,0.0032362937927246094
135,135,0.006033182144165039
136,136,0.00391077995300293
137,137,0.007109403610229492
138,138,0.004513263702392578
139,139,0.003248929977416992
140,140,0.005803108215332031
141,141,0.003467082977294922
142,142,0.005591392517089844
143,143,0.0037841796875
144,144,0.003270864486694336
145,145,0.0070934295654296875
146,146,0.0047757625579833984
147,147,0.006746053695678711
148,148,0.0037276744842529297
149,149,0.004589080810546875
150,150,0.005989551544189453
151,151,0.0036094188690185547
152,152,0.006949901580810547
153,153,0.004212141036987305
154,154,0.004173994064331055
155,155,0.007379293441772461
156,156,0.003811359405517578
157,157,0.006579875946044922
158,158,0.004748344421386719
159,159,0.003337383270263672
160,160,0.006201982498168945
161,161,0.004003047943115234
162,162,0.005598545074462891
163,163,0.00383758544921875
164,164,0.0037293434143066406
165,165,0.006074666976928711
166,166,0.003733396530151367
167,167,0.0069158077239990234
168,168,0.00347137451171875
169,169,0.003955841064453125
170,170,0.005622148513793945
171,171,0.0033392906188964844
172,172,0.005506753921508789
173,173,0.0033981800079345703
174,174,0.0037474632263183594
175,175,0.00613713264465332
176,176,0.003506898880004883
177,177,0.005791187286376953
178,178,0.003595590591430664
179,179,0.0032749176025390625
180,180,0.0060842037200927734
181,181,0.0035576820373535156
182,182,0.008704662322998047
183,183,0.0037496089935302734
184,184,0.0035178661346435547
185,185,0.006724119186401367
186,186,0.003367185592651367
187,187,0.007938861846923828
188,188,0.0032961368560791016
189,189,0.00416874885559082
190,190,0.00599217414855957
191,191,0.003667593002319336
192,192,0.00763392448425293
193,193,0.0034241676330566406
194,194,0.003227710723876953
195,195,0.006154537200927734
196,196,0.0033364295959472656
197,197,0.006254434585571289
198,198,0.0034227371215820312
199,199,0.0038924217224121094
200,200,0.006643772125244141
201,201,0.0035483837127685547
202,202,0.007570743560791016
203,203,0.003463268280029297
204,204,0.0037376880645751953
205,205,0.006007194519042969
206,206,0.0038280487060546875
207,207,0.006124019622802734
208,208,0.003804445266723633
209,209,0.0034933090209960938
210,210,0.005901336669921875
211,211,0.005065441131591797
212,212,0.006623744964599609
213,213,0.00400233268737793
214,214,0.003481149673461914
215,215,0.007078409194946289
216,216,0.003194093704223633
217,217,0.005935192108154297
218,218,0.003334522247314453
219,219,0.003904104232788086
220,220,0.006078481674194336
221,221,0.003393888473510742
222,222,0.0068836212158203125
223,223,0.004018306732177734
224,224,0.003319978713989258
225,225,0.005913496017456055
226,226,0.003331422805786133
227,227,0.0061037540435791016
228,228,0.003818988800048828
229,229,0.0035855770111083984
230,230,0.005811452865600586
231,231,0.0037136077880859375
232,232,0.0063934326171875
233,233,0.0036957263946533203
234,234,0.00429534912109375
235,235,0.006139039993286133
236,236,0.0035851001739501953
237,237,0.006520986557006836
238,238,0.0037186145782470703
239,239,0.0037157535552978516
240,240,0.006922721862792969
241,241,0.003430604934692383
242,242,0.00603938102722168
243,243,0.004641532897949219
244,244,0.0031952857971191406
245,245,0.0058476924896240234
246,246,0.004439592361450195
247,247,0.006018877029418945
248,248,0.003306865692138672
249,249,0.0034427642822265625
250,250,0.007012605667114258
251,251,0.003390073776245117
252,252,0.006753206253051758
253,253,0.003416299819946289
254,254,0.003564596176147461
255,255,0.005649566650390625
256,256,0.005877494812011719
257,257,0.009569883346557617
258,258,0.0036792755126953125
259,259,0.005408048629760742
260,260,0.01095271110534668
261,261,0.0062770843505859375
262,262,0.007792234420776367
263,263,0.0034568309783935547
264,264,0.003301858901977539
265,265,0.00899195671081543
266,266,0.003785371780395508
267,267,0.006948947906494141
268,268,0.0035698413848876953
269,269,0.004602670669555664
270,270,0.005739450454711914
271,271,0.003935098648071289
272,272,0.006439685821533203
273,273,0.004418373107910156
274,274,0.003329753875732422
275,275,0.0072672367095947266
276,276,0.003301858901977539
277,277,0.006154775619506836
278,278,0.0034990310668945312
279,279,0.0033066272735595703
280,280,0.005933046340942383
281,281,0.0037202835083007812
282,282,0.005793571472167969
283,283,0.0032563209533691406
284,284,0.0053479671478271484
285,285,0.005982398986816406
286,286,0.003402233123779297
287,287,0.006678342819213867
288,288,0.0028994083404541016
289,289,0.003960847854614258
290,290,0.006307840347290039
291,291,0.003863096237182617
292,292,0.006084918975830078
293,293,0.004112958908081055
294,294,0.0033113956451416016
295,295,0.007572650909423828
296,296,0.003702878952026367
297,297,0.006152629852294922
298,298,0.005242824554443359
299,299,0.0033462047576904297
300,300,0.006366252899169922
301,301,0.003622293472290039
302,302,0.006212711334228516
303,303,0.004843235015869141
304,304,0.0032758712768554688
305,305,0.006102561950683594
306,306,0.0039272308349609375
307,307,0.006426095962524414
308,308,0.005131244659423828
309,309,0.003192424774169922
310,310,0.005997180938720703
311,311,0.0037317276000976562
312,312,0.006543874740600586
313,313,0.004106283187866211
314,314,0.004082202911376953
315,315,0.006558656692504883
316,316,0.003532886505126953
317,317,0.006148576736450195
318,318,0.0032629966735839844
319,319,0.004799604415893555
320,320,0.007470607757568359
321,321,0.004551887512207031
322,322,0.00803232192993164
323,323,0.003990650177001953
324,324,0.0034554004669189453
325,325,0.005598306655883789
326,326,0.0033483505249023438
327,327,0.00588679313659668
328,328,0.0035049915313720703
329,329,0.003484964370727539
330,330,0.00665736198425293
331,331,0.0035169124603271484
332,332,0.003574371337890625
333,333,0.006439685821533203
334,334,0.004250526428222656
335,335,0.006719350814819336
336,336,0.004848003387451172
337,337,0.00380706787109375
338,338,0.006136417388916016
339,339,0.003864765167236328
340,340,0.0062983036041259766
341,341,0.0042819976806640625
342,342,0.0044002532958984375
343,343,0.006486177444458008
344,344,0.0033936500549316406
345,345,0.0057675838470458984
346,346,0.004678249359130859
347,347,0.003724336624145508
348,348,0.005923271179199219
349,349,0.004184246063232422
350,350,0.006402730941772461
351,351,0.0036499500274658203
352,352,0.0036516189575195312
353,353,0.006688356399536133
354,354,0.0038182735443115234
355,355,0.006431102752685547
356,356,0.003642559051513672
357,357,0.0034117698669433594
358,358,0.006513357162475586
359,359,0.003441333770751953
360,360,0.005837678909301758
361,361,0.004734992980957031
362,362,0.003393411636352539
363,363,0.006867408752441406
364,364,0.003255605697631836
365,365,0.005764484405517578
366,366,0.0033600330352783203
367,367,0.003587007522583008
368,368,0.006449222564697266
369,369,0.004276752471923828
370,370,0.005895376205444336
371,371,0.003267526626586914
372,372,0.004509687423706055
373,373,0.00623631477355957
374,374,0.0036818981170654297
375,375,0.006224632263183594
376,376,0.004212379455566406
377,377,0.0035250186920166016
378,378,0.006073951721191406
379,379,0.0034017562866210938
380,380,0.006063938140869141
381,381,0.0035202503204345703
382,382,0.004132270812988281
383,383,0.0068356990814208984
384,384,0.0038161277770996094
385,385,0.0063817501068115234
386,386,0.0034379959106445312
387,387,0.0034568309783935547
388,388,0.005647420883178711
389,389,0.003408193588256836
390,390,0.007005214691162109
391,391,0.003282308578491211
392,392,0.003874063491821289
393,393,0.006230831146240234
394,394,0.003975868225097656
395,395,0.0058782100677490234
396,396,0.0031709671020507812
397,397,0.0036880970001220703
398,398,0.007050037384033203
399,399,0.003444194793701172
400,400,0.0056915283203125
401,401,0.003377676010131836
402,402,0.0031054019927978516
403,403,0.00535273551940918
404,404,0.004160404205322266
405,405,0.005582332611083984
406,406,0.00393986701965332
407,407,0.003307342529296875
408,408,0.005978822708129883
409,409,0.003350496292114258
410,410,0.006064176559448242
411,411,0.003455638885498047
412,412,0.0040280818939208984
413,413,0.0057373046875
